"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,-0.447560788557826,0.794438844803837,0.0167089406085337,0.205561155196163,0.00432344057199566,0.780846765415738,0.219153234584262,-0.00289056593860698,0.00308827759418086,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,-0.214608946943886,0.655100711097157,0.0230258390326493,0.344899288902843,0.0121227093395328,0.768662067172535,0.231337932827465,-0.00635025858693938,0.00568678606185084,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,0.31974936114899,0.722496890826043,0.0754745171793451,0.277503109173957,0.0289889319201435,0.685508215679241,0.314491784320759,-0.0133861126703399,0.0126232424635269,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.433807920597333,0.596704133226345,0.0132404128089687,0.403295866773655,0.00894882985201058,0.805284628566941,0.194715371433059,-0.00290335071897136,0.00209309079893428,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.614011427336668,0.419705439232289,0.0173102308659988,0.58029456076771,0.0239335302290731,0.744876318378683,0.255123681621317,-0.00228448825962168,0.00216022686022387,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.379086385318809,0.471482282122277,0.0083643417336695,0.528517717877723,0.00937618012861383,0.793941715013701,0.206058284986299,-0.0015182108989841,0.00164464331035459,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.386390201937747,0.466523819878602,0.0119212941330813,0.533476180121398,0.0136321580704598,0.7781874068026,0.2218125931974,-0.00204059574033111,0.00281161648520662,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.3,0.1,0.293016430689576,0.285161548652879,0.00701823014864572,0.714838451347121,0.0175931881221565,0.770720702583699,0.229279297416301,-0.00149192026733446,0.0023568638153012,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.514969481963454,0.00222264833210601,0.485030518036546,0.00209342943551546,0.861985338216032,0.138014661783968,0.000110647234060387,8.59526166396171e-05,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.41026196795164,0.0013650142037444,0.58973803204836,0.00196216284500729,0.865455684195827,0.134544315804173,-0.000116347002810968,2.38251827749064e-05,2
